Ultralytics 8.3.105 🚀 Python-3.11.11 torch-2.6.0+cu124 CUDA:0 (Tesla T4, 15095MiB)
video 1/1 (frame 66/615) /content/test/capstone (1).mp4: 384x640 1 Hello, 8.8ms
video 1/1 (frame 67/615) /content/test/capstone (1).mp4: 384x640 1 Hello, 8.1ms
video 1/1 (frame 68/615) /content/test/capstone (1).mp4: 384x640 1 Hello, 8.9ms
video 1/1 (frame 69/615) /content/test/capstone (1).mp4: 384x640 1 Hello, 8.0ms
video 1/1 (frame 70/615) /content/test/capstone (1).mp4: 384x640 1 Hello, 8.1ms
video 1/1 (frame 71/615) /content/test/capstone (1).mp4: 384x640 1 Hello, 8.4ms
video 1/1 (frame 72/615) /content/test/capstone (1).mp4: 384x640 1 Hello, 9.1ms
video 1/1 (frame 73/615) /content/test/capstone (1).mp4: 384x640 1 Hello, 9.3ms
video 1/1 (frame 74/615) /content/test/capstone (1).mp4: 384x640 1 Hello, 10.0ms
video 1/1 (frame 75/615) /content/test/capstone (1).mp4: 384x640 1 Hello, 8.3ms
video 1/1 (frame 76/615) /content/test/capstone (1).mp4: 384x640 1 Hello, 8.0ms
video 1/1 (frame 77/615) /content/test/capstone (1).mp4: 384x640 1 Hello, 8.3ms
video 1/1 (frame 78/615) /content/test/capstone (1).mp4: 384x640 1 Hello, 8.1ms
video 1/1 (frame 79/615) /content/test/capstone (1).mp4: 384x640 1 Hello, 8.7ms
video 1/1 (frame 80/615) /content/test/capstone (1).mp4: 384x640 1 Hello, 8.1ms
video 1/1 (frame 81/615) /content/test/capstone (1).mp4: 384x640 1 Hello, 8.1ms
video 1/1 (frame 82/615) /content/test/capstone (1).mp4: 384x640 1 Hello, 8.3ms
video 1/1 (frame 83/615) /content/test/capstone (1).mp4: 384x640 1 Hello, 8.0ms
video 1/1 (frame 84/615) /content/test/capstone (1).mp4: 384x640 1 Hello, 8.1ms
video 1/1 (frame 85/615) /content/test/capstone (1).mp4: 384x640 1 Hello, 8.7ms
video 1/1 (frame 86/615) /content/test/capstone (1).mp4: 384x640 1 Hello, 7.9ms
video 1/1 (frame 87/615) /content/test/capstone (1).mp4: 384x640 1 Hello, 8.0ms
video 1/1 (frame 88/615) /content/test/capstone (1).mp4: 384x640 (no detections), 8.1ms
video 1/1 (frame 89/615) /content/test/capstone (1).mp4: 384x640 (no detections), 8.1ms
video 1/1 (frame 90/615) /content/test/capstone (1).mp4: 384x640 (no detections), 7.8ms
video 1/1 (frame 91/615) /content/test/capstone (1).mp4: 384x640 1 Hello, 8.1ms
video 1/1 (frame 92/615) /content/test/capstone (1).mp4: 384x640 1 Hello, 8.0ms
video 1/1 (frame 93/615) /content/test/capstone (1).mp4: 384x640 1 Hello, 8.1ms
